,meanscell_abundance_w_sf_Astro L1 FGFR3 SERPINI2,meanscell_abundance_w_sf_Astro L1-6 FGFR3 AQP1,meanscell_abundance_w_sf_Astro L1-6 FGFR3 PLCG1,meanscell_abundance_w_sf_Endo L2-5 NOSTRIN SRGN,meanscell_abundance_w_sf_Exc L2 LAMP5 KCNG3,meanscell_abundance_w_sf_Exc L2 LINC00507 ATP7B,meanscell_abundance_w_sf_Exc L2 LINC00507 GLRA3,meanscell_abundance_w_sf_Exc L2-3 LINC00507 DSG3,meanscell_abundance_w_sf_Exc L2-3 RORB CCDC68,meanscell_abundance_w_sf_Exc L2-3 RORB PTPN3,meanscell_abundance_w_sf_Exc L2-3 RORB RTKN2,meanscell_abundance_w_sf_Exc L3 LAMP5 CARM1P1,meanscell_abundance_w_sf_Exc L3 RORB OTOGL,meanscell_abundance_w_sf_Exc L3 THEMIS ENPEP,meanscell_abundance_w_sf_Exc L3-5 FEZF2 ASGR2,meanscell_abundance_w_sf_Exc L3-5 FEZF2 LINC01107,meanscell_abundance_w_sf_Exc L3-5 RORB LAMA4,meanscell_abundance_w_sf_Exc L3-5 RORB LINC01202,meanscell_abundance_w_sf_Exc L3-5 RORB LNX2,meanscell_abundance_w_sf_Exc L3-5 RORB RPRM,meanscell_abundance_w_sf_Exc L3-5 RORB TNNT2,meanscell_abundance_w_sf_Exc L5 FEZF2 CSN1S1,meanscell_abundance_w_sf_Exc L5 FEZF2 NREP-AS1,meanscell_abundance_w_sf_Exc L5 FEZF2 PKD2L1,meanscell_abundance_w_sf_Exc L5 FEZF2 RNF144A-AS1,meanscell_abundance_w_sf_Exc L5 RORB MED8,meanscell_abundance_w_sf_Exc L5 THEMIS FGF10,meanscell_abundance_w_sf_Exc L5 THEMIS LINC01116,meanscell_abundance_w_sf_Exc L5 THEMIS RGPD6,meanscell_abundance_w_sf_Exc L5 THEMIS SLC22A18,meanscell_abundance_w_sf_Exc L5 THEMIS VILL,meanscell_abundance_w_sf_Exc L5-6 FEZF2 C9orf135-AS1,meanscell_abundance_w_sf_Exc L5-6 FEZF2 CFTR,meanscell_abundance_w_sf_Exc L5-6 FEZF2 FILIP1L,meanscell_abundance_w_sf_Exc L5-6 FEZF2 IFNG-AS1,meanscell_abundance_w_sf_Exc L5-6 FEZF2 LPO,meanscell_abundance_w_sf_Exc L5-6 FEZF2 OR1L8,meanscell_abundance_w_sf_Exc L5-6 FEZF2 SH2D1B,meanscell_abundance_w_sf_Exc L5-6 THEMIS SMYD1,meanscell_abundance_w_sf_Exc L5-6 THEMIS TNFAIP6,meanscell_abundance_w_sf_Exc L6 FEZF2 FFAR4,meanscell_abundance_w_sf_Exc L6 FEZF2 KLK7,meanscell_abundance_w_sf_Exc L6 FEZF2 POGK,meanscell_abundance_w_sf_Exc L6 FEZF2 PROKR2,meanscell_abundance_w_sf_Exc L6 THEMIS LINC00343,meanscell_abundance_w_sf_Exc L6 THEMIS SLN,meanscell_abundance_w_sf_Exc L6 THEMIS SNTG2,meanscell_abundance_w_sf_Inh L1 LAMP5 BMP2,meanscell_abundance_w_sf_Inh L1 LAMP5 NMBR,meanscell_abundance_w_sf_Inh L1 LAMP5 PVRL2,meanscell_abundance_w_sf_Inh L1 LAMP5 RAB11FIP1,meanscell_abundance_w_sf_Inh L1 PAX6 CHRFAM7A,meanscell_abundance_w_sf_Inh L1 PAX6 MIR101-1,meanscell_abundance_w_sf_Inh L1 PVALB SST ASIC4,meanscell_abundance_w_sf_Inh L1 SST DEFB108B,meanscell_abundance_w_sf_Inh L1 SST P4HA3,meanscell_abundance_w_sf_Inh L1 VIP KLHDC8B,meanscell_abundance_w_sf_Inh L1-2 PVALB CDK20,meanscell_abundance_w_sf_Inh L1-2 SST CCNJL,meanscell_abundance_w_sf_Inh L1-2 SST CLIC6,meanscell_abundance_w_sf_Inh L1-2 SST PRRT4,meanscell_abundance_w_sf_Inh L1-2 VIP EXPH5,meanscell_abundance_w_sf_Inh L1-2 VIP HTR3A,meanscell_abundance_w_sf_Inh L1-2 VIP PTGER3,meanscell_abundance_w_sf_Inh L1-2 VIP SCML4,meanscell_abundance_w_sf_Inh L1-2 VIP WNT4,meanscell_abundance_w_sf_Inh L1-3 SST FAM20A,meanscell_abundance_w_sf_Inh L1-3 VIP CBLN1,meanscell_abundance_w_sf_Inh L1-3 VIP CHRNA2,meanscell_abundance_w_sf_Inh L1-3 VIP FNDC1,meanscell_abundance_w_sf_Inh L1-3 VIP HSPB6,meanscell_abundance_w_sf_Inh L1-5 VIP CD27-AS1,meanscell_abundance_w_sf_Inh L1-5 VIP LINC01013,meanscell_abundance_w_sf_Inh L1-5 VIP PHLDB3,meanscell_abundance_w_sf_Inh L1-5 VIP SMOC1,meanscell_abundance_w_sf_Inh L1-6 LAMP5 AARD,meanscell_abundance_w_sf_Inh L1-6 LAMP5 CA1,meanscell_abundance_w_sf_Inh L1-6 LAMP5 NES,meanscell_abundance_w_sf_Inh L1-6 PVALB COL15A1,meanscell_abundance_w_sf_Inh L1-6 SST NPY,meanscell_abundance_w_sf_Inh L1-6 VIP SLC7A6OS,meanscell_abundance_w_sf_Inh L2 PAX6 FREM2,meanscell_abundance_w_sf_Inh L2 PVALB FRZB,meanscell_abundance_w_sf_Inh L2 VIP SLC6A16,meanscell_abundance_w_sf_Inh L2-3 SST NMU,meanscell_abundance_w_sf_Inh L2-5 PVALB HHIPL1,meanscell_abundance_w_sf_Inh L2-5 PVALB RPH3AL,meanscell_abundance_w_sf_Inh L2-5 VIP BSPRY,meanscell_abundance_w_sf_Inh L2-5 VIP SOX11,meanscell_abundance_w_sf_Inh L3 PVALB SAMD13,meanscell_abundance_w_sf_Inh L3-5 PVALB ISG20,meanscell_abundance_w_sf_Inh L3-5 SST CDH3,meanscell_abundance_w_sf_Inh L3-5 SST GGTLC3,meanscell_abundance_w_sf_Inh L3-5 SST OR5AH1P,meanscell_abundance_w_sf_Inh L3-5 VIP HS3ST3A1,meanscell_abundance_w_sf_Inh L3-5 VIP IGDCC3,meanscell_abundance_w_sf_Inh L3-5 VIP TAC3,meanscell_abundance_w_sf_Inh L3-6 PAX6 LINC01497,meanscell_abundance_w_sf_Inh L3-6 VIP UG0898H09,meanscell_abundance_w_sf_Inh L3-6 VIP ZIM2-AS1,meanscell_abundance_w_sf_Inh L5 PVALB LRIG3,meanscell_abundance_w_sf_Inh L5 SST RPL35AP11,meanscell_abundance_w_sf_Inh L5-6 LAMP5 CRABP1,meanscell_abundance_w_sf_Inh L5-6 PVALB FAM150B,meanscell_abundance_w_sf_Inh L5-6 PVALB GAPDHP60,meanscell_abundance_w_sf_Inh L5-6 PVALB KCNIP2,meanscell_abundance_w_sf_Inh L5-6 PVALB MEPE,meanscell_abundance_w_sf_Inh L5-6 PVALB SST CRHR2,meanscell_abundance_w_sf_Inh L5-6 PVALB ZFPM2-AS1,meanscell_abundance_w_sf_Inh L5-6 SST BEAN1,meanscell_abundance_w_sf_Inh L5-6 SST C4orf26,meanscell_abundance_w_sf_Inh L5-6 SST DNAJC14,meanscell_abundance_w_sf_Inh L5-6 SST FBN2,meanscell_abundance_w_sf_Inh L5-6 SST ISX,meanscell_abundance_w_sf_Inh L5-6 SST KLHL1,meanscell_abundance_w_sf_Inh L5-6 SST PAWR,meanscell_abundance_w_sf_Inh L5-6 SST PIK3CD,meanscell_abundance_w_sf_Inh L5-6 VIP COL4A3,meanscell_abundance_w_sf_Inh L6 SST TH,meanscell_abundance_w_sf_Micro L1-6 TYROBP CD74,meanscell_abundance_w_sf_OPC L1-6 PDGFRA COL20A1,meanscell_abundance_w_sf_Oligo L2-6 OPALIN FTH1P3,meanscell_abundance_w_sf_Oligo L2-6 OPALIN MAP6D1,meanscell_abundance_w_sf_Oligo L3-6 OPALIN ENPP6,meanscell_abundance_w_sf_Oligo L3-6 OPALIN LRP4-AS1,meanscell_abundance_w_sf_VLMC L1-5 PDGFRA COLEC12
0,0.13708152,0.44608265,0.2461781,0.4726649,0.33553815,0.05843588,0.14641128,0.03257486,0.034629457,0.051646583,0.07242563,0.080935456,0.09014802,0.052399676,0.32935134,0.071057655,0.023992965,0.08353004,0.0617875,0.60735303,0.038872276,0.043578796,0.14080401,0.123722196,0.08701219,0.118164495,0.10859428,0.2964557,1.165383,0.050089434,0.075666875,2.7132707,0.17692861,1.513049,0.16098028,0.2011167,1.2387215,1.4121925,0.33153442,0.06017327,0.10596695,0.26476705,0.25388852,0.39460772,0.09109994,0.051644992,0.41671228,0.050552454,0.05828606,0.06325301,0.07938787,0.10268314,0.08775278,0.16119891,0.09608566,0.12090413,0.06678919,0.13656005,1.2133583,0.5127877,0.66197723,0.13256301,0.09390671,0.11624779,0.06226477,0.08495505,1.4816163,0.12215872,0.08011529,0.07533475,0.08688336,0.07250959,0.13407454,0.10284121,0.16067863,0.11448104,0.09873502,0.13436289,0.10215445,0.11572526,0.044515133,0.051473215,0.12718327,0.08686655,0.7514928,0.12119042,0.113665834,0.1244819,0.091407366,0.10802958,0.041796915,1.6266757,1.7559918,1.1493169,0.13081205,0.10257186,0.10925895,0.07408695,0.08796839,0.12521668,0.17680824,1.8910245,0.06602266,0.064088136,0.18982886,0.07509409,0.08471617,0.775717,0.08901376,0.18867171,0.45701784,0.10381665,0.47843084,0.70514864,1.1016141,1.8413608,1.3022381,0.090800054,0.2814995,0.8463068,0.46860987,11.5855,0.81712055,11.446267,4.1465607,0.3303578
1,0.028318346,0.04206436,0.03199154,0.043631617,1.8321362,0.6418992,1.4079623,0.5904287,0.30669776,0.3599904,0.6991611,0.43972504,0.17450774,0.14772333,0.07441125,0.050281435,0.1071386,0.102890484,0.094324775,0.74283934,0.10093666,0.059213657,0.060686108,0.074414484,0.111872256,0.11173059,0.10253742,0.2353838,1.0998952,0.07539593,0.15613607,2.5945737,0.30796468,0.62770116,0.11283276,0.0802958,0.65438426,0.8733603,0.635482,0.16260843,0.23409984,0.63470596,1.3245912,0.34871596,0.19553444,0.56496674,0.5096247,0.12565696,0.32321978,0.08083634,0.050303634,0.36799714,0.08807712,0.37548167,0.36504698,0.17895605,0.62696266,0.043585066,0.21913709,0.11875984,0.10018484,0.4713625,0.24070717,0.4679979,0.24914555,0.24171309,0.19085285,0.6128443,2.3459501,0.36666217,0.74790716,0.40821385,0.34559292,0.5051722,1.4421341,0.0499408,0.062875725,0.048731692,0.10234859,0.07368959,0.40256456,0.09101236,0.06679096,0.33697656,0.080612846,0.03631112,0.04392785,0.53440857,0.15966915,0.061103523,0.036867984,0.23043415,0.16489169,0.13081351,0.9828429,1.0743839,0.6997512,0.17926584,0.22186412,0.07349755,0.062294178,0.26240644,0.06177003,0.07956763,0.15068488,0.058034606,0.049926743,0.061586164,0.038830943,0.13843139,0.2583441,0.06912824,0.17598327,0.15516566,0.20335922,0.15893823,0.20769759,0.3970026,0.19845136,0.100084245,0.039483536,0.02178866,0.015828593,0.008240988,0.010591415,0.044652354
2,0.025656698,0.05238483,0.041451294,0.046588507,0.9454068,0.6653479,0.8126755,1.5952557,0.36138776,0.37521487,0.55396694,1.7823546,0.98363006,0.98520666,0.08352558,0.06911824,0.6182537,1.155907,0.6784659,4.1122227,0.94177413,0.18008183,0.04531266,0.061957993,0.08538105,0.47499612,2.7515395,1.5785437,0.20719096,0.64915967,1.2122256,0.14039263,0.14443591,0.09733897,0.06617929,0.04938808,0.14456178,0.0876896,0.39202785,0.9469934,0.06637042,0.04378752,0.114749074,0.64932257,0.8842796,1.1114702,0.62361103,0.0539631,0.050314542,0.04879589,0.03905733,0.049689475,0.053603012,0.05621861,0.05480191,0.055426694,0.052445088,0.10893639,0.43361095,0.34398502,0.2812575,0.043823216,0.045412198,0.08313047,0.04859695,0.028675865,0.6214022,0.033495683,0.039552465,0.045645736,0.055658586,0.07408897,0.057510518,0.044027288,0.060390957,0.05615246,0.058616463,0.038051784,0.0630143,0.053366873,0.045098513,0.048234932,0.12532431,0.04165217,0.31251425,0.12359314,0.21014366,0.044211827,0.032551553,0.22127272,0.32649875,0.58818185,1.0986294,0.7930619,0.05965628,0.059835594,0.036483444,0.047769777,0.056812737,0.04055616,0.12474607,0.91812795,0.04974622,0.09957541,0.12195099,0.09908206,0.101231724,0.45959002,0.13422312,0.13936663,0.47112933,0.13673101,0.38693988,0.5572673,0.56821775,0.7798726,0.76516294,0.071065255,0.14734286,0.15659714,0.027365891,0.059226263,0.030165143,0.040471178,0.017246312,0.051516697
3,0.45088866,0.33893168,0.39794946,0.08377581,0.9808991,0.83303505,1.2331301,0.64896494,0.20185901,0.322032,0.74118453,0.32652545,0.18340915,0.20670901,0.09243054,0.055067737,0.18079315,0.21481636,0.10505942,1.6067828,0.091577284,0.05592464,0.20896578,0.07437541,0.08769978,0.14334394,0.16855136,0.08918517,0.16561215,0.067664936,0.086047135,0.1532256,0.08505689,0.09237843,0.1315935,0.062241703,0.091984674,0.1389655,0.18405923,0.14158142,0.07292071,0.06779348,0.13398962,0.46813723,0.29456645,0.4588326,0.1937824,1.1992714,0.5878967,1.3225871,2.5543969,0.15657572,0.5006142,0.2288354,0.18489173,0.28345597,0.23154977,0.6006441,0.31339404,0.4785286,0.21134788,0.20838715,0.09149948,0.39459124,0.10270593,0.11194327,0.20191102,0.22239637,0.14939637,0.18716308,0.2528955,0.20852216,0.10388748,0.17746434,0.13821124,2.9646966,1.8030899,2.9411788,0.56051844,0.053515594,1.1882055,0.17212212,0.6397692,0.15188782,0.25675008,0.8351418,1.175303,0.16587204,0.12259266,1.3480849,0.5046815,0.22269581,0.16581312,0.16026378,0.1262883,0.29994017,0.1706518,0.25906345,0.09173475,0.10274501,1.0562012,0.6972309,3.05688,1.2915828,1.2739033,1.252275,1.2411317,0.21008334,0.81057596,0.28266257,1.0281246,0.5892417,0.6048063,0.6298973,0.9006176,0.08662962,0.082336605,0.23504269,1.0458233,0.16100065,0.266965,0.04810953,0.034643374,0.038319092,0.052485835,0.20712839
4,4.57521,3.3971667,7.0002337,0.3420722,0.7858903,0.4433163,0.8765112,0.5925249,5.1980004,2.3718832,1.7851237,0.26086053,0.6101527,0.18176144,0.077609636,0.20555815,0.70344126,0.32322627,0.33262512,1.2039845,0.31797823,0.053457215,0.0919771,0.12984678,0.2331712,0.3475674,0.2765071,0.029855331,0.029721046,0.13433474,0.15886906,0.046987876,0.11246363,0.033221316,0.14956592,0.033841144,0.048605546,0.054883197,0.19623359,0.16188012,0.09718996,0.08643625,0.08327151,0.15144333,0.2268779,0.4405374,0.16542675,0.047631096,0.030660072,0.034015525,0.045574196,0.059185345,0.042722553,0.09577113,0.055675223,0.08088874,0.045119245,0.0515782,0.061147835,0.06575827,0.048204336,0.077557184,0.08046042,0.07363307,0.047335144,0.05834275,0.07667284,0.059741322,0.11232724,0.049634065,0.07287017,0.08152354,0.055236086,0.058788523,0.08870596,0.052882344,0.074306555,0.048098784,0.07131875,0.12165672,0.04150864,0.053513076,0.05821068,0.063099116,0.080148265,0.112424515,0.13852203,0.07639771,0.04312571,0.3308851,0.06765513,0.049706414,0.07945607,0.052076176,0.07386953,0.062185377,0.07615731,0.044772696,0.048461698,0.050634567,0.0889866,0.06817357,0.03090642,0.13817568,0.08335713,0.05200971,0.110338844,0.06810315,0.0683564,0.05935386,0.10025043,0.071055904,0.10722314,0.07882842,0.090479985,0.05266605,0.07488908,0.11259704,0.06864356,0.45789778,1.3176824,6.3919697,0.37509272,5.9994087,3.7638454,1.3001652
5,0.114457965,0.07001432,0.072837114,0.025301754,0.012568882,0.0069770576,0.008057674,0.0074615185,0.0056685456,0.008632274,0.0054572457,0.0079963785,0.014053393,0.0056489124,0.012462565,0.0075505916,0.0054964554,0.005788363,0.0044861175,0.0059380387,0.0063856,0.0073294695,0.008921739,0.015997011,0.016442114,0.0043895827,0.005588822,0.0034929751,0.004293715,0.003106163,0.006317974,0.0049690907,0.006010929,0.0045789033,0.011767219,0.005735496,0.0043053934,0.007025781,0.04391578,0.007114781,0.006925377,0.0102630835,0.0044330545,0.0029034375,0.006966047,0.005649589,0.005904048,0.21309248,0.38619125,0.07602909,0.05625648,0.33729005,0.13563232,0.47148034,0.335261,0.096870095,0.3473719,0.85248613,0.6542764,0.52505815,0.56788146,3.4373493,0.4886978,0.2759415,0.39404035,0.19818182,0.89904034,1.7419229,0.47516465,1.4722024,1.705756,0.19950019,0.4047063,0.72334087,0.9929454,0.08160344,0.19208956,0.09492329,0.42843643,0.06655722,0.06192336,0.060916033,0.3669559,0.24974146,1.064912,0.7999097,0.94015807,0.6913908,0.59486055,1.7200199,1.3286173,0.79967314,1.4528949,0.76797616,0.7797071,0.46442324,1.8329761,0.15420555,0.24262321,0.076826826,0.45011562,1.4261191,0.03623187,0.25591093,0.22808793,0.38567144,0.30679432,0.9625072,0.6089913,0.42944953,0.14997599,0.028696792,0.43115014,0.6531981,0.46202978,1.5066916,0.7962342,0.21635646,0.058909386,0.043991357,0.031174108,0.014007414,0.0041540186,0.0109332185,0.0080009075,0.08177921
6,0.06795294,0.13874963,0.064896435,0.14855738,2.3445978,1.8006327,2.4486516,2.32622,0.682657,0.7905677,1.2076278,1.3921055,0.64011574,0.9882796,0.20954338,0.13523102,0.40875557,0.5221962,0.29365033,1.6382204,0.5289967,0.13379836,0.17023005,0.114581525,0.09247205,0.35045084,0.5825489,1.258766,3.4130394,0.27704772,0.69520575,2.9008207,0.24180038,1.260027,0.12912303,0.18926491,1.0281935,3.034799,0.819579,0.43334082,0.14798594,0.41327658,0.27567092,0.6757812,1.2095525,1.6365398,1.0353237,0.04630878,0.052340355,0.033403873,0.030735705,0.079652816,0.0366123,0.060357425,0.07243883,0.058869556,0.06274609,0.027592946,0.08024257,0.04228274,0.07802454,0.070467465,0.049183358,0.043482933,0.044634555,0.03102449,0.12448673,0.04563388,0.04299339,0.052252725,0.05165759,0.06160237,0.087229714,0.10005424,0.05683234,0.036897574,0.038328107,0.02761582,0.034823615,0.10146305,0.04023448,0.051283494,0.033614587,0.044205062,0.046553023,0.039072234,0.034968752,0.044874154,0.03662403,0.03973418,0.026728481,0.070806496,0.08563967,0.040578112,0.036374696,0.0747944,0.07152354,0.0715032,0.075654194,0.06461699,0.04414883,0.08508575,0.020899197,0.04087712,0.048561834,0.024413567,0.037216775,0.049764697,0.039835453,0.04562652,0.07736751,0.037290655,0.089273654,0.04492824,0.053535044,0.06800438,0.08710728,0.038419925,0.08775253,0.18110088,0.21476878,5.670193,0.40906474,5.4298244,1.4868764,0.16919293
7,3.047874,2.2233975,4.372803,1.0473982,0.019717943,0.011838357,0.010983586,0.0055663427,0.055221092,0.020051943,0.018217005,0.008742903,0.13616924,0.0089267865,0.015938543,0.012740701,0.027871372,0.19478117,0.91489506,1.343462,0.124902084,0.012960717,0.23733276,0.10109029,0.076880775,0.056544237,0.10663205,0.008087358,0.008628771,0.022522068,0.025256502,0.024161872,0.039769877,0.02781677,0.0607062,0.12932678,0.022822615,0.016206648,0.015438536,0.14309321,0.07191316,0.017008016,0.029168505,0.36692396,0.023772972,0.023764476,0.015280745,0.07875611,0.081243224,0.09772784,0.20631024,0.051337767,0.07260712,1.2284788,0.08187204,0.10636113,0.055286873,0.046733405,0.051394794,0.049085237,0.08549475,0.20904566,0.059257723,0.2648343,0.06740839,0.06578103,0.07296709,0.07112648,0.18362975,0.050827045,0.15746665,0.54443735,0.07695634,0.15455681,0.11114332,0.55498976,0.20404749,0.20035736,0.7441804,0.07140131,0.08754477,0.032754455,0.054277383,0.03917235,0.04781157,0.05966692,0.02775579,0.16746622,0.078939795,0.11213995,0.03670497,0.04059936,0.05565248,0.046860173,0.20480683,0.07431277,0.117837794,0.040105075,0.041747317,0.18671076,0.065493435,0.17539805,0.19014472,0.09663828,0.12230982,0.021852333,0.053608976,0.03323919,0.04582748,0.13258626,0.13825336,0.3855502,0.3243599,0.0834185,0.08455017,0.16954525,0.077958055,0.10966504,0.25253624,2.8131733,16.199692,12.158452,0.4225882,9.493355,6.786107,1.91901
8,0.026421461,0.02296289,0.032879714,0.029954962,1.9318836,1.2128522,3.369964,2.2393231,0.76231045,1.9079129,2.2208488,0.9250124,0.104341015,0.36851633,0.32799008,0.17996079,0.2262519,0.05355667,0.04620652,0.129067,0.19967861,0.061729617,0.03160147,0.034572266,0.05474761,0.061826855,0.059734922,0.03985022,0.074867785,0.14922068,0.10519407,0.09262267,0.04421191,0.04178386,0.036070615,0.0300119,0.060061373,0.0938654,0.46544677,0.07141792,0.09443423,0.13586043,0.05818562,0.016528424,0.47306278,1.0667936,0.19432035,0.060823794,0.042209595,0.061314847,0.04941327,0.052582417,0.036171533,0.03185658,0.070792906,0.030652503,0.0416187,1.4462004,0.20839329,0.35187888,0.1407258,0.05070317,0.045172036,0.027828658,0.04498894,0.024246814,0.12882324,0.051960178,0.037569482,0.042136632,0.066123456,0.023085432,0.041420963,0.05048581,0.029081203,0.121569134,0.0880272,0.039783236,0.37584668,0.026952434,0.023737246,0.02680606,1.0148882,0.032184158,0.19003718,1.519578,1.7026154,0.034397855,0.02383535,2.0917609,1.255586,0.04578407,0.11827705,0.056771595,0.025245776,0.048233964,0.07731094,0.04128212,0.0358702,0.019354507,0.94885504,0.072553754,0.06388946,0.48493028,0.35744172,0.6558716,0.69469666,0.18955933,1.2973561,0.18125868,0.040354732,0.052025147,0.058986306,0.061971072,0.06299506,0.06749143,0.05617775,0.016826697,0.024833221,0.08420787,0.015637008,0.011228021,0.018031828,0.010807398,0.0057254536,0.03845554
9,17.201385,11.760636,21.546474,0.590833,2.710148,2.573521,3.2940674,2.7128398,1.0993,1.3911189,1.7349042,1.5349369,0.43957397,0.85506284,0.29242218,0.16738522,0.40327016,0.4645173,0.24237646,1.1526568,0.46281332,0.12762396,0.046724938,0.062698446,0.06556459,0.27179778,0.6843284,0.11067446,0.14354692,0.3444089,0.38207328,0.19247954,0.17855693,0.06869493,0.047920212,0.03611882,0.07108918,0.11706676,0.79449886,0.5714919,0.15431005,0.15107843,0.18316859,0.30265868,1.5236729,2.167989,0.42833802,0.08157379,0.069017634,0.046603814,0.038354695,0.09215794,0.082291275,0.07691251,0.054038316,0.081376046,0.06573423,0.045698058,0.1091083,0.034825623,0.08080273,0.15005875,0.063241296,0.0437205,0.05191542,0.06007049,0.10973593,0.07723606,0.091272764,0.1161831,0.091031715,0.07444006,0.0714658,0.10431824,0.089955285,0.06706971,0.06462365,0.06314112,0.07592151,0.07860941,0.038084004,0.034875643,0.057076912,0.068299524,0.05487203,0.0656721,0.06474677,0.060463037,0.02813514,0.15180391,0.03674052,0.050695274,0.07296733,0.03791988,0.09648457,0.04535348,0.13399957,0.042027,0.07295988,0.034700494,0.059901044,0.064374715,0.040813092,0.056066547,0.05708885,0.03997777,0.040789492,0.04015899,0.054330938,0.036911115,0.04272276,0.08670105,0.092252776,0.05329476,0.05347189,0.057246365,0.06699033,0.0527949,0.04298815,0.97081524,3.2218683,0.1913491,0.11228422,0.18049395,2.6300344,3.33561
10,0.07963172,0.16163826,0.14993347,0.09079211,0.030773057,0.03726853,0.020630041,0.05999124,0.08479276,0.054179396,0.037533466,0.061768405,0.3481293,0.033302218,0.06047894,0.05022301,0.079788655,0.15923165,0.17336383,0.9289214,0.06622598,0.038883433,13.699195,7.287846,10.42674,0.06763797,0.08905384,0.69632757,0.11244276,0.04580447,0.05689567,0.12826452,0.17042723,0.18237737,11.167219,4.0124927,0.2440413,0.42360723,0.46485814,0.085804336,0.13305596,0.07601607,0.11293332,0.42588663,0.037403576,0.020811718,0.050571583,0.060439635,0.062809706,0.056592494,0.035413735,0.044297177,0.028235687,0.044607863,0.067679085,0.029802065,0.04424437,0.047461096,0.06635986,0.100543655,0.079044044,0.06526592,0.0320808,0.16296364,0.054482263,0.015447943,0.07578796,0.07241956,0.05325765,0.093648285,0.09771939,0.05050618,0.06776587,0.06819335,0.042420622,0.11279105,0.047312036,0.04033603,0.04585115,0.041289102,0.024614433,0.01642717,0.03192395,0.07822852,0.07602653,0.088072665,0.055357274,0.061622545,0.037188448,0.093255565,0.0951311,0.083946764,0.061041124,0.11916669,0.0390497,0.04287025,0.054720398,0.050233476,0.057461277,0.019582111,0.11183332,0.1324686,0.029074162,0.11026232,0.09323149,0.044221353,0.090064175,0.07224169,0.047056057,0.089175425,0.124684915,0.11198266,0.09097908,0.16331717,0.18338606,0.055663496,0.053700786,0.055993576,0.226219,0.21829903,0.04408868,0.033536565,0.011350503,0.0704454,0.012118308,0.047066916
11,0.063042454,0.14466716,0.08156468,0.16584283,0.5975701,0.2536241,0.99489355,0.52608556,0.6564735,1.0302385,1.4754578,0.310006,0.17693113,0.21692872,0.46640328,0.3487128,0.11832191,0.13042521,1.0073506,0.20013,0.08737322,0.068429425,1.0099204,1.2420533,0.4190912,0.15578714,0.07889391,0.057397738,0.18033282,0.09524357,0.09436864,0.27783644,0.5234324,0.23930849,0.6065058,0.16149254,0.1905852,0.3172042,0.28888828,0.09471069,0.6110805,2.2453518,1.2172697,0.22579025,0.2687508,0.46911353,0.12687095,0.056053884,0.05216669,0.08806776,0.13436666,0.07211698,0.032027315,0.07128762,0.0398476,0.06496399,0.021920934,0.03221481,0.06804559,0.025551876,0.068586186,0.057393555,0.035666484,0.038616292,0.025648206,0.0324197,0.061291955,0.06665537,0.031061074,0.033471145,0.037663892,0.027837781,0.05550769,0.05210953,0.041578185,0.056393873,0.061459664,0.053353563,0.076227546,0.053241804,0.037304055,0.03441524,0.03604968,0.031926148,0.027698513,0.06778,0.033018146,0.049272273,0.03564465,0.08814631,0.05961582,0.03733416,0.068866834,0.0357633,0.0493512,0.028515024,0.063377894,0.0462772,0.045750517,0.039890695,0.03576799,0.03127044,0.035602074,0.028964916,0.03237595,0.052875225,0.035532176,0.033622418,0.045310743,0.039307788,0.02505447,0.019182736,0.027955523,0.021941725,0.019407542,0.034613963,0.064996615,0.025925595,0.02932798,0.140026,0.58673203,9.626428,0.95796615,8.207189,4.152563,0.23150766
12,0.016295828,0.019947717,0.18357377,0.018858308,1.4132298,1.3755711,2.2887516,1.2580332,2.0475645,1.9671221,2.5285323,0.4558601,0.22274834,0.35731536,0.12727979,0.068358004,0.276587,0.16477332,0.14597513,0.7189974,0.5098252,0.078885175,0.014016262,0.015111197,0.02690081,0.10593503,0.1974201,0.02564666,0.042094503,0.33432016,0.2331548,0.0545634,0.040802594,0.02275928,0.022334276,0.009482954,0.033754136,0.0385398,0.22822216,0.14593533,0.043974712,0.117983826,0.051153477,0.05648668,0.7834797,1.098179,0.1341239,0.02259633,0.021389458,0.017017832,0.0122577185,0.033980813,0.02596772,0.019042794,0.021795686,0.022349514,0.023524193,0.016439762,0.029929584,0.034773715,0.048673853,0.025127359,0.015134756,0.012951802,0.015035162,0.016674297,0.0477634,0.015655277,0.009243543,0.01781187,0.014693282,0.011859779,0.022955634,0.02449254,0.017117837,0.016530175,0.02742763,0.014477621,0.024272684,0.015625695,0.010098448,0.01919853,0.01927988,0.014701006,0.020433938,0.010083123,0.013759555,0.012002496,0.009649241,0.0386596,0.016491683,0.030355643,0.04380001,0.025550568,0.015002216,0.015402317,0.033988293,0.032739792,0.017851522,0.011242149,0.010959612,0.036287684,0.014292914,0.011918181,0.0112687955,0.013272174,0.011177269,0.02569737,0.013393576,0.017795946,0.016793238,0.01022142,0.04081361,0.019663576,0.017547028,0.01886341,0.02639588,0.0086463345,0.014563502,0.05187845,0.0217202,0.010972799,0.014810218,0.005046062,0.004207283,0.043650452
